trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.95, 'e': 5.569169079973268e-05}",20,10,-21.494226328251663,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.95, 'e': 5.486968449931413e-05}",35,15,-6.8128584739389755,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.95, 'e': 5.406574394463668e-05}",30,13,27.77890006198579,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.95, 'e': 5.3279343598486864e-05}",30,24,13.796491412468782,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.95, 'e': 5.250997689561016e-05}",20,12,14.863720370479486,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.95, 'e': 5.175715542673774e-05}",25,11,23.665115132118906,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.95, 'e': 5.102040816326531e-05}",20,8,-1.5119750518497737,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
142,False,"{'a': 0.95, 'e': 5.02992807202857e-05}",20,11,16.861642951936084,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.95, 'e': 4.959333465582226e-05}",20,8,21.57315447213059,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.95, 'e': 4.8902146804244705e-05}",25,14,17.045421290446676,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.95, 'e': 4.8225308641975306e-05}",25,0,10.052683958212747,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",1
146,False,"{'a': 0.95, 'e': 4.756242568370987e-05}",20,0,20.807567102029523,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.95, 'e': 4.6913116907487336e-05}",25,7,20.653293009091534,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.95, 'e': 4.627701420704336e-05}",30,13,-7.886310375098536,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.95, 'e': 4.565376186997809e-05}",20,7,-21.41264685389727,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
150,False,"{'a': 0.95, 'e': 4.504301608035674e-05}",20,9,22.471936385733436,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.95, 'e': 4.4444444444444447e-05}",20,13,15.49174751851008,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.95, 'e': 4.385772553835358e-05}",30,22,14.012927566444946,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.95, 'e': 4.3282548476454294e-05}",30,0,37.88318993045467,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.95, 'e': 4.2718612499466016e-05}",25,11,23.956990989974592,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.95, 'e': 4.2165626581210996e-05}",25,6,21.578462608175197,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.95, 'e': 4.162330905306972e-05}",25,20,8.308805844328235,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.95, 'e': 4.10913872452334e-05}",25,17,17.35304089643858,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.95, 'e': 4.056959714390036e-05}",20,8,20.837193909244352,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.95, 'e': 4.00576830636116e-05}",20,16,7.8382435619134,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.95, 'e': 3.955539733396622e-05}",20,2,19.82497309644868,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.95, 'e': 3.90625e-05}",25,14,21.534256834951194,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.95, 'e': 3.8578758535550326e-05}",20,0,5.495691868265264,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
163,False,"{'a': 0.95, 'e': 3.8103947568968146e-05}",25,13,18.361304445029706,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.95, 'e': 3.7637848620572846e-05}",20,3,-12.638188784776702,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
165,False,"{'a': 0.95, 'e': 3.7180249851279e-05}",20,6,25.035871511379312,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.95, 'e': 3.6730945821854914e-05}",20,14,11.298452790712911,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.95, 'e': 3.628973726230222e-05}",20,13,12.101635319936062,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.95, 'e': 3.58564308508731e-05}",20,16,9.510328466377501,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.95, 'e': 3.5430839002267575e-05}",25,7,25.097936262065527,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.95, 'e': 3.501277966457757e-05}",30,0,45.14469349962394,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.95, 'e': 3.460207612456748e-05}",25,11,23.92893912399996,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.95, 'e': 3.419855682090216e-05}",25,4,38.297463276526464,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.95, 'e': 3.380205516495403e-05}",25,3,35.38035509565853,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.95, 'e': 3.3412409368839586e-05}",25,0,36.2792479692255,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
175,False,"{'a': 0.95, 'e': 3.302946228035408e-05}",30,23,14.123148879357784,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.95, 'e': 3.265306122448979e-05}",25,1,2.9949673773318812,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 0}",1
177,False,"{'a': 0.95, 'e': 3.228305785123967e-05}",25,14,19.4776539834273,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.95, 'e': 3.191930798940279e-05}",20,14,13.03839208470237,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.95, 'e': 3.156167150612296e-05}",20,4,29.023579123864522,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.95, 'e': 3.121001217190475e-05}",20,7,-5.817416474309122,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.95, 'e': 3.08641975308642e-05}",25,3,-0.6933047987007692,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
182,False,"{'a': 0.95, 'e': 3.0524098775983637e-05}",20,14,12.739909835964548,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.95, 'e': 3.0189590629151068e-05}",30,0,43.91727716940797,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
184,False,"{'a': 0.95, 'e': 2.986055122577563e-05}",20,14,11.974326972586663,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.95, 'e': 2.953686200378072e-05}",30,13,33.34436380704362,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.95, 'e': 2.9218407596785974e-05}",20,9,16.90796352453217,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
